Date,Procedure,n_Procedure,Temperature,EventTarget,Day,2015,Month,Tareeq
3/26/2016,B,1,32,2,Saturday,0,0.25,0.8387096774193549
3/26/2016,C,3,32,2,Saturday,0,0.25,0.8387096774193549
3/27/2016,A,5,34,0,Sunday,0,0.25,0.8709677419354839
3/27/2016,B,6,34,0,Sunday,0,0.25,0.8709677419354839
3/27/2016,C,3,34,0,Sunday,0,0.25,0.8709677419354839
3/28/2016,A,5,36,0,Monday,0,0.25,0.9032258064516129
3/28/2016,B,3,36,0,Monday,0,0.25,0.9032258064516129
3/28/2016,C,1,36,0,Monday,0,0.25,0.9032258064516129
3/29/2016,A,7,38,0,Tuesday,0,0.25,0.9354838709677419
3/29/2016,B,1,38,0,Tuesday,0,0.25,0.9354838709677419
3/29/2016,C,3,38,0,Tuesday,0,0.25,0.9354838709677419
3/30/2016,A,5,36,0,Wednesday,0,0.25,0.967741935483871
3/30/2016,B,1,36,0,Wednesday,0,0.25,0.967741935483871
3/30/2016,C,2,36,0,Wednesday,0,0.25,0.967741935483871
3/31/2016,A,5,24,2,Thursday,0,0.25,1.0
3/31/2016,B,4,24,2,Thursday,0,0.25,1.0
3/31/2016,C,2,24,2,Thursday,0,0.25,1.0
4/1/2016,A,5,20,2,Friday,0,0.3333333333333333,0.03225806451612903
4/1/2016,B,1,20,2,Friday,0,0.3333333333333333,0.03225806451612903
4/1/2016,C,2,20,2,Friday,0,0.3333333333333333,0.03225806451612903
4/2/2016,A,5,22,2,Saturday,0,0.3333333333333333,0.06451612903225806
4/2/2016,B,2,22,2,Saturday,0,0.3333333333333333,0.06451612903225806
4/2/2016,C,6,22,2,Saturday,0,0.3333333333333333,0.06451612903225806
4/3/2016,A,2,21,0,Sunday,0,0.3333333333333333,0.0967741935483871
4/3/2016,B,1,21,0,Sunday,0,0.3333333333333333,0.0967741935483871
4/3/2016,C,1,21,0,Sunday,0,0.3333333333333333,0.0967741935483871
4/4/2016,A,8,21,0,Monday,0,0.3333333333333333,0.12903225806451613
4/4/2016,B,2,21,0,Monday,0,0.3333333333333333,0.12903225806451613
4/4/2016,C,4,21,0,Monday,0,0.3333333333333333,0.12903225806451613
4/5/2016,A,9,27,0,Tuesday,0,0.3333333333333333,0.16129032258064516
4/5/2016,B,4,27,0,Tuesday,0,0.3333333333333333,0.16129032258064516
4/5/2016,C,2,27,0,Tuesday,0,0.3333333333333333,0.16129032258064516
4/6/2016,A,8,33,2,Wednesday,0,0.3333333333333333,0.1935483870967742
4/6/2016,B,0,33,2,Wednesday,0,0.3333333333333333,0.1935483870967742
4/6/2016,C,9,33,2,Wednesday,0,0.3333333333333333,0.1935483870967742
4/7/2016,A,4,27,2,Thursday,0,0.3333333333333333,0.22580645161290322
4/7/2016,B,3,27,2,Thursday,0,0.3333333333333333,0.22580645161290322
4/7/2016,C,2,27,2,Thursday,0,0.3333333333333333,0.22580645161290322
4/8/2016,A,3,27,2,Friday,0,0.3333333333333333,0.25806451612903225
4/8/2016,B,4,27,2,Friday,0,0.3333333333333333,0.25806451612903225
4/8/2016,C,4,27,2,Friday,0,0.3333333333333333,0.25806451612903225
4/9/2016,A,5,26,1,Saturday,0,0.3333333333333333,0.2903225806451613
4/9/2016,B,1,26,1,Saturday,0,0.3333333333333333,0.2903225806451613
4/9/2016,C,4,26,1,Saturday,0,0.3333333333333333,0.2903225806451613
4/10/2016,A,7,26,1,Sunday,0,0.3333333333333333,0.3225806451612903
4/10/2016,B,5,26,1,Sunday,0,0.3333333333333333,0.3225806451612903
